0.00, 14, 14, 120
0.17, 62, 117, 207
0.30, 91, 190, 243
0.43, 175, 237, 234
0.50, 229, 241, 196
0.59, 244, 213, 130
0.71, 237, 158, 80
0.85, 204, 90, 41
1.00, 150, 20, 30
